prenoms;nombre;sexe;annee
Aaron;55;M;2004
Abdallah;7;M;2004
Abdellah;6;M;2004
Abdoulaye;15;M;2004
Abel;14;M;2004
Abigaël;6;F;2004
Aboubacar;8;M;2004
Aboubakar;6;M;2004
Achille;29;M;2004
Adam;169;M;2004
Adama;18;M;2004
Adel;12;M;2004
Adèle;67;F;2004
Adelie;15;F;2004
Adeline;6;F;2004
Adem;13;M;2004
Adil;6;M;2004
Adrian;12;M;2004
Adriana;8;F;2004
Adrien;138;M;2004
Agathe;72;F;2004
Agnès;11;F;2004
Ahmed;33;M;2004
Aïcha;22;F;2004
Aïssata;8;F;2004
Aïssatou;15;F;2004
Alan;15;M;2004
Alban;13;M;2004
Albane;16;F;2004
Albert;6;M;2004
Alec;7;M;2004
Alex;44;M;2004
Alexander;10;M;2004
Alexandra;60;F;2004
Alexandre;319;M;2004
Alexane;6;F;2004
Alexia;29;F;2004
Alexis;149;M;2004
Ali;33;M;2004
Alia;10;F;2004
Alice;193;F;2004
Alicia;54;F;2004
Alienor;24;F;2004
Aline;12;F;2004
Alissa;6;F;2004
Alix;80;F;2004
Allan;15;M;2004
Alma;19;F;2004
Alya;10;F;2004
Alyssa;14;F;2004
Amadou;12;M;2004
Amandine;30;F;2004
Amara;6;M;2004
Amaury;36;M;2004
Ambre;74;F;2004
Ambroise;11;M;2004
Amel;13;F;2004
Amelia;6;F;2004
Amelie;39;F;2004
Amina;23;F;2004
Aminata;41;F;2004
Amine;50;M;2004
Amir;22;M;2004
Amira;18;F;2004
Amy;8;F;2004
Ana;24;F;2004
Anae;8;F;2004
Anaël;6;F;2004
Anaelle;7;F;2004
Anaëlle;38;F;2004
Anaïs;137;F;2004
Anas;13;M;2004
Anastasia;24;F;2004
Anatole;31;M;2004
Andre;13;M;2004
Andrea;33;F;2004
Andrea;20;F;2004
Andy;19;M;2004
Ange;15;M;2004
Angela;9;F;2004
Angèle;29;F;2004
Angelina;8;F;2004
Angelina;7;F;2004
Angelique;13;F;2004
Angelo;9;M;2004
Ania;7;F;2004
Anis;33;M;2004
Anissa;21;F;2004
Anna;117;F;2004
Annabelle;14;F;2004
Anne;10;F;2004
Anouk;48;F;2004
Anthony;41;M;2004
Antoine;248;M;2004
Anton;16;M;2004
Antonin;46;M;2004
Antony;11;M;2004
Anya;7;F;2004
Apolline;60;F;2004
Appoline;7;F;2004
Ari;7;M;2004
Ariane;28;F;2004
Ariel;13;M;2004
Aris;6;M;2004
Armand;28;M;2004
Arnaud;38;M;2004
Arsène;10;M;2004
Arthur;203;M;2004
Arthus;9;M;2004
Ashley;12;F;2004
Asma;7;F;2004
Assa;10;F;2004
Assia;20;F;2004
Astrid;29;F;2004
Athena;6;F;2004
Aubin;7;M;2004
Aude;15;F;2004
Audrey;31;F;2004
Auguste;8;M;2004
Augustin;73;M;2004
Aurèle;9;M;2004
Aurelia;7;F;2004
Aurelie;16;F;2004
Aurelien;63;M;2004
Auriane;14;F;2004
Aurore;17;F;2004
Ava;17;F;2004
Avi;7;M;2004
Awa;19;F;2004
Axel;100;M;2004
Axelle;27;F;2004
Aya;32;F;2004
Ayman;9;M;2004
Aymane;6;M;2004
Aymen;7;M;2004
Aymeric;22;M;2004
Ayoub;23;M;2004
Bahia;6;F;2004
Balthazar;15;M;2004
Baptiste;132;M;2004
Barbara;12;F;2004
Basile;48;M;2004
Bastien;29;M;2004
Ben;7;M;2004
Benjamin;118;M;2004
Benoit;6;M;2004
Benoît;17;M;2004
Berenice;22;F;2004
Bertille;13;F;2004
Bettina;9;F;2004
Betty;6;F;2004
Bianca;7;F;2004
Bilal;21;M;2004
Bilel;10;M;2004
Binta;15;F;2004
Bintou;11;F;2004
Blanche;37;F;2004
Blandine;19;F;2004
Boris;7;M;2004
Boubacar;8;M;2004
Boubou;6;M;2004
Brahim;7;M;2004
Brandon;16;M;2004
Brayan;6;M;2004
Briac;8;M;2004
Brian;11;M;2004
Brice;14;M;2004
Brieuc;11;M;2004
Brune;6;F;2004
Bruno;20;M;2004
Bryan;20;M;2004
Calvin;6;M;2004
Camelia;18;F;2004
Camelia;6;F;2004
Camil;7;M;2004
Camille;275;F;2004
Candice;42;F;2004
Capucine;82;F;2004
Carl;6;M;2004
Carla;84;F;2004
Carmen;7;F;2004
Caroline;29;F;2004
Cassandra;25;F;2004
Cassandre;17;F;2004
Catherine;13;F;2004
Cecile;36;F;2004
Cecilia;14;F;2004
Cedric;21;M;2004
Celeste;25;F;2004
Celia;54;F;2004
Celian;9;M;2004
Celine;39;F;2004
Cesar;23;M;2004
Chaï;7;M;2004
Chaïma;9;F;2004
Chanel;6;F;2004
Charlène;6;F;2004
Charles;98;M;2004
Charlie;12;F;2004
Charline;10;F;2004
Charlotte;130;F;2004
Cheick;8;M;2004
Cheikh;10;M;2004
Chelsea;6;F;2004
Chiara;51;F;2004
Chirine;7;F;2004
Chloe;184;F;2004
Chris;9;M;2004
Christelle;11;F;2004
Christian;12;M;2004
Christina;8;F;2004
Christine;18;F;2004
Christophe;18;M;2004
Christopher;7;M;2004
Cindy;7;F;2004
Claire;52;F;2004
Clara;195;F;2004
Clarisse;25;F;2004
Clemence;105;F;2004
Clement;140;M;2004
Clementine;52;F;2004
Cleo;15;F;2004
Cleophee;7;F;2004
Cloe;14;F;2004
Clothilde;6;F;2004
Clotilde;21;F;2004
Clovis;10;M;2004
Colette;6;F;2004
Colin;16;M;2004
Coline;29;F;2004
Colombe;17;F;2004
Côme;45;M;2004
Constance;51;F;2004
Constantin;12;M;2004
Coralie;9;F;2004
Corentin;44;M;2004
Corto;7;M;2004
Cyprien;26;M;2004
Cyriaque;6;M;2004
Cyrielle;7;F;2004
Cyril;14;M;2004
Damien;30;M;2004
Dan;18;M;2004
Dana;6;F;2004
Daniel;34;M;2004
Dany;10;M;2004
Daouda;9;M;2004
Daphne;39;F;2004
Daria;6;F;2004
Darius;7;M;2004
David;87;M;2004
Deborah;10;F;2004
Delphine;10;F;2004
Diana;11;F;2004
Diane;51;F;2004
Diego;27;M;2004
Dimitri;29;M;2004
Dina;10;F;2004
Djeneba;6;F;2004
Djeneba;9;F;2004
Djibril;22;M;2004
Domitille;19;F;2004
Dora;8;F;2004
Dorian;39;M;2004
Doriane;6;F;2004
Dounia;19;F;2004
Dylan;67;M;2004
Eddy;7;M;2004
Eden;37;F;2004
Edgar;23;M;2004
Edouard;42;M;2004
Eglantine;9;F;2004
Elea;19;F;2004
Elena;6;F;2004
Elena;23;F;2004
Eleonore;9;F;2004
Eleonore;64;F;2004
Elia;16;F;2004
Eliane;6;F;2004
Elias;57;M;2004
Elie;35;M;2004
Elijah;7;M;2004
